day,country,"player size",opportunities,"ad requests",impressions,"fillrate %",revenue,rpm,"impression rpm",cost
2018-11-11,DE,728x1280,44,4854,0,0,0,0,0,0
2018-11-11,TW,320x50,1556,2236,0,0,0,0,0,0
2018-11-11,LT,1280x728,1,827,0,0,0,0,0,0
2018-11-11,NA,768x1024,42,5181,0,0,0,0,0,0
2018-11-11,BB,1920x1080,8,127,0,0,0,0,0,0
2018-11-11,CZ,300x250,711,945,0,0,0,0,0,0
2018-11-11,CA,320x50,93,1090,0,0,0,0,0,0
2018-11-11,PS,1024x768,20,945,0,0,0,0,0,0
2018-11-11,RU,400x728,44,13936,0,0,0,0,0,0
2018-11-11,RU,768x1024,344,49636,0,0,0,0,0,0
2018-11-11,MX,0x0,1,81,0,0,0,0,0,0
2018-11-11,MN,320x480,252,2954,0,0,0,0,0,0
2018-11-11,AZ,768x1024,90,11999,0,0,0,0,0,0
2018-11-11,IM,480x320,2,81,0,0,0,0,0,0
2018-11-11,GT,480x320,40,63,0,0,0,0,0,0
2018-11-11,DO,1280x720,9,4999,4,44.44,0,.65,1.48,0
2018-11-11,SV,480x320,8,0,0,0,0,0,0,0
2018-11-11,MU,1280x728,1,99,0,0,0,0,0,0
2018-11-11,ID,320x480,12550,50899,0,0,0,0,0,0
2018-11-11,GT,768x1024,23,6245,0,0,0,0,0,0
2018-11-11,DE,720x1280,36,4254,3,8.33,0,.16,1.94,0
2018-11-11,IR,320x50,0,63,0,0,0,0,0,0
2018-11-11,HK,1280x720,268,52618,15,5.59,.03,.12,2.19,.01
2018-11-11,MG,480x320,0,54,0,0,0,0,0,0
2018-11-11,AE,1920x1080,16437,1569016,7203,43.82,14.47,.88,2.00,14.24
2018-11-11,IS,1024x768,0,18,0,0,0,0,0,0
2018-11-11,DZ,1280x728,1,363,0,0,0,0,0,0
2018-11-11,BW,480x320,16,9,0,0,0,0,0,0
2018-11-11,GB,360x640,2,199,0,0,0,0,0,0
2018-11-11,DE,320x480,64946,12937596,5860,9.02,10.57,.16,1.80,.10
